Price,Headline,Address,Owner,Bedrooms,Bathrooms,Balconies,Super area,Price Per sqft,Status,Transaction type,Floor,Car parking,Furnished,Lifts,Descrption,Price breakup,Address2,Landmarks,Age of Construction,Price comparison,Expected rent,Monthly EMI
19.2 Lac,"1200 Sq-ft Residential Plot/Land for Sale in Celebrity Prime Eco Front , Jigani , Bangalore","for sale in Celebrity Prime Eco Front, Jigani, Bangalore","Builder
Siddharth",NA,NA,NA,NA,NA,No/Rare Powercut,New Property,NA,"1 Covered, 1 Open",NA,NA,NA,19.2 Lac,"Jigani, Bangalore - South, Karnataka",NA,Under Construction,NA,NA,NA
31.0 Lac,1 BHK 590 Sq-ft Flat,"For Sale Kengeri, Bangalore","Builder
Karthik",NA,NA,NA,590 sqft,"5,254/sqft",Under Construction,New Property,6 (Out of 6 Floors),NA,NA,NA,"Hill Crest is a luxurious and affordable residential apartment project by Sairam Dwellings located next to Vishweshwaraiah Layout 2nd Stage Bangalore OFF NICE ROAD, which is also close proximity to Kengeri Metro Station, Educational institution like Edify School, Chitrakoota School, Hill Rock School, RV Engineering College.","31.0 Lac ₹ 2,000 Monthly","Kengeri, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
1.16 Cr,2 BHK 1367 Sq-ft Flat,"For Sale Kadubeesanahalli, Bangalore","Builder
Babu",2,2,NA,1367 sqft,"8,486/sqft",Ready to Move,New Property,"Vitrified, Marble",1 Covered,Unfurnished,NA,"A Home Where Everything is a Blessing. A premium gated residential cluster of 232 luxury apartments spread over a pristinely manicured ground, Bhuvi by Amsha offers varying sizes of homes across an elegant high rise 8 blocks of 8 floors each. It's a home that you'll be proud to call yours. Topped with excellent facilities, ample parking space and an expensive clubhouse, Bhuvi is a unique blend of contemporary architecture and Vaastu compliance.","1.16 Cr ₹ 2,000 Monthly","Kadubeesanahalli, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
95.1 Lac,3 BHK 1428 Sq-ft Flat,"For Sale Thambuchetty Palya, Bangalore","Builder
Banupriya",3,2,NA,1428 sqft,"6,660/sqft",Under Construction,New Property,14,None,NA,NA,Sun & Sanctum is a tall stepped architectural delight creating a unique skyline in the otherwise teeming city. The project is spread across 4 acres with 69% open space and a wide range of modern amenities to choose from. Experience elevated living in the heart of it all. Every sqft of the project is designed to allow for individualistic lifestyles while incorporating the essence of a community.,"95.1 Lac ₹ 3,000 Monthly","Thambuchetty Palya, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
45.5 Lac,3 BHK 1300 Sq-ft Flat,"For Sale Electronic City Phase 2, Bangalore","Builder
Kiran Kumar",3 See Dimension,2,NA,1300 sqft,"3,500/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Sri Nandana Royal is developed by Sri Nandana Builders with an impeccable Reputation for quality, integrity and on Schedule Delivery. The Apartment is located in Electronic city Phase 2 Easily accessible, to all the Major IT Parks in Electronic city Like Infosys, Wipro, HP, CGS and many more.","45.5 Lac ₹ 30,000 Yearly","Electronic City Phase 2, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
74.6 Lac,2 BHK 1150 Sq-ft Flat,"For Sale Bellandur, Bangalore","Builder
Nikhar Aventino",2 See Dimension,2,2,1150 sqft,"6,487/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Luxury takes on a new definition at Nikhar Aventino. Be it Picture-Perfect interiors, aesthetically designed structures, Innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambience for happiness and fine living.",74.6 Lac,"Bellandur, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
79.9 Lac,3 BHK 1758 Sq-ft Flat,"For Sale Kanakapura Road, Bangalore","Builder
Jitesh",3,3,NA,1758 sqft,"4,545/sqft",Under Construction,New Property,Vitrified,None,NA,NA,Your home in the lap of nature. You will be living close to nature at Maangalya Park Avenue since we have done everything possible to reduce our carbon footprint and create a scenic environment with lush greenery and landscaped surroundings that you will feel proud to call your home.,79.9 Lac ₹ 3 Per sq. Unit Monthly,"Kanakapura Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
7.29 Cr,4 BHK Villa,"for sale in After The Rain, Yelahanka, Bangalore","Builder
Florita Rawat",4 See Dimension,4,NA,5120 sqft,"14,238/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,NA,7.29 Cr,"Yelahanka, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
61.9 Lac,3 BHK 1110 Sq-ft Flat,"For Sale Whitefield, Bangalore","Builder
Rajesh",3 See Dimension,3,NA,1110 sqft,"5,577/sqft",Under Construction,New Property,8 (Out of 12 Floors),NA,NA,NA,"Provident Capella is a standout and one of the most anticipated projects by Provident Group coming up in Whitefield, Bangalore. Provident Capella is planned to be skyscraper where it is planned to offer all the cutting edge especially inside the condo. This development is lounged across vast landscape and is going to offer immense open Space inside the venture to make inhabitant feel the nature very closely","61.9 Lac ₹ 24,000 Yearly","Whitefield, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
37.5 Lac,2 BHK 883 Sq-ft Flat,"For Sale Mysore Road, Bangalore","Builder
Rajesh",2 See Dimension,2,NA,883 sqft,"4,247/sqft",Under Construction,New Property,8 (Out of 12 Floors),NA,NA,NA,"Provident Equinox sets high standards in terms of specifications and fittings. The project uses breed construction technology which has proven results of making your home last longer, reduces noise levels and gives immaculate finish to the structures. The premise promises global brands inside and premium views outside.","37.5 Lac ₹ 2,000 Monthly","Mysore Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
28.2 Lac,2 BHK 912 Sq-ft Flat,"For Sale Gunjur, Bangalore","Builder
Naveen Kumar",2 See Dimension,2,NA,912 sqft,"3,092/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Signature Crest is a residential apartment project developed by M/s Signature Dwellings Private Limited. The project is planned in the affordable- luxury housing segment targeting entry- level home buyers. The proposed project is located close to Gunjur, off Dommasandra-Varthur road. It is close to major IT settings and is located about half an hour's drive from Electronics City, Whitefield and Outer Ring Road.","28.2 Lac ₹ 3,000 Monthly","Gunjur, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
1.06 Cr,3 BHK 1700 Sq-ft Flat,"For Sale Electronic City Phase 2, Bangalore","Builder
Gururaj",3 See Dimensions,3,NA,1700 sqft,"6,235/sqft",Ready to Move,New Property,5 (Out of 9 Floors),1 Covered,NA,NA,NA,1.06 Cr,"Electronic City Phase 2, Bangalore - South, Karnataka",Hotel Ioliten,New Construction,NA,NA,NA
52.5 Lac,2 BHK 1118 Sq-ft Flat,"For Sale Yelahanka, Bangalore","Builder
Madhu",2,2,NA,1118 sqft,"4,700/sqft",Ready to Move,New Property,Vitrified,None,Unfurnished,NA,"A space that transforms into a personal sanctuary, a heritage that unfolds into a modern delight.. That's Ramky One North. The focus is to create a comfortable and sophisticated apartment enclave accommodating facilities provided for the convenience of the residents. A home that fits your lifestyle!",52.5 Lac,"Yelahanka, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
41.0 Lac,"2325 Sq-ft Residential Plot/Land for Sale in Shriram Raynal Gardens , Magadi Road , Bangalore","for sale in Shriram Raynal Gardens, Magadi Road, Bangalore","Builder
ShriRam Properties",NA,NA,NA,NA,NA,No/Rare Powercut,New Property,NA,1 Covered,NA,NA,"A 97-acre premium plotted development located in the next big residential hub of Magadi Road at Tavarekere. Surrounded by pristine greenery, state-of-the-art infrastructure and exclusive lifestyle amenities, Raynal Garden, one of the most lifestyle loaded plotted development in West Bengaluru, has been handpicked by industry experts as being an ideal plotted development for investors and end-users alike. A plot here at Raynal Gardens, which already has 1000+ happy customers, will greatly appreciate over time both as an investment asset and home- as it ticks all the prerequisite of desirable real estate- location, infrastructure and amenities.",41.0 Lac,"Magadi Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
36.4 Lac,2 BHK 681 Sq-ft Flat,"For Sale Whitefield, Bangalore","Builder
Parnika",2 See Dimension,NA,NA,681 sqft,"5,345/sqft",Under Construction,New Property,4 (Out of 4 Floors),NA,NA,NA,"Where The World Is On The Lookout For Luxurious Places To Live In, We Planned The Most Convenient And Affordable Luxury Homes For You! We Bring Opulent Living At Exiguous Prices For Those Who Wish For More Than Standard Living Spaces. Delivering you the Best Branded Fittings and Quality Designs with Sowparnika Indraprastha at Soukya Road, Whitefield. Sowparnika Indraprastha's Location Is Very Well connected to the City. It is 10 Minutes Away From ITPL, 20 Minutes from KR Puram Station and about 30 Minutes from the International Airport.","36.4 Lac ₹ 3,000 Monthly","Whitefield, Bangalore, Whitefield, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
1.25 Cr,3 BHK 2050 Sq-ft Flat,"For Sale JP Nagar Phase 8, Bangalore","Builder
Ayub Khan",3 See Dimension,3,NA,2050 sqft,"6,098/sqft",Under Construction,New Property,"Vitrified, Granite",None,NA,NA,NA,1.25 Cr ₹ 4 Per sq. Unit Monthly,"JP Nagar Phase 8, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
67.4 Lac,3 BHK 1348 Sq-ft Flat,"For Sale Mysore Road, Bangalore","Builder
Athique",3,3,NA,1348 sqft,"5,000/sqft",Ready to Move,New Property,NA,None,Unfurnished,NA,"PLATINA EXOTICA A Luxury Resiential project in a prime location adjoing BDA layout at Kengeri. Kengeri has always been one the most preferred residential areas in the city of Bangalore. Beautifully laid out residential area by BANGALORE DEVELOPMENT AUTHORITY, with excellent infrastructure consisting of good roads, water supply, well connected to ring road on all sides, conveniences within easy reach, access to excellent healthcare, schools, colleges, local and interstate bus stand, and recreational centers make it one of the choicest localities to live in if youre looking for all the above in Bangalore",67.4 Lac,"Mysore Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
54.6 Lac,2 BHK 1145 Sq-ft Flat,"For Sale Hosa Road, Bangalore","Builder
Sandeep Kumar",2,2,NA,1145 sqft,"4,769/sqft",Under Construction,New Property,Ground (Out of 12 Floors),NA,NA,NA,"An abode with privileged amenities and proximity to IT Parks, hospitals and schools, T.G.Ascent is a rare opportunity for uncompromised living. Relax in lush gardens, Sprint on the jogging track, get fit in the gym, take a dip in the swimming pool, host a party in the posh club house, practice cricket , compete in a game of basketball and many more activities to make sure you live your life daily to the fullest.",54.6 Lac,"Hosa Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
53.4 Lac,"1200 Sq-ft Residential Plot/Land for Sale in Bluejay Atmosphere II , Tumkur Road , Bangalore","for sale in Bluejay Atmosphere II, Tumkur Road, Bangalore","Builder
Kaniska saha",NA,NA,NA,NA,NA,NA,New Property,NA,None,NA,NA,NA,53.4 Lac,"Tumkur Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
52.2 Lac,2 BHK 1136 Sq-ft Flat,"For Sale Hesaraghatta Main Road, Bangalore","Builder
Srikant",2,2,NA,1136 sqft,"4,599/sqft",Under Construction,New Property,NA,1 Covered,NA,NA,"Concorde group is happy to present its new project Concorde Spring Meadows located on Hessarghatta Main Road, Off Yeshwanthpur, Bangalore. These apartments are designed to offer best in class lifestyle and amenities in over 3.19 acres. The project will house 1 BHK, 2 BHK (Small), 2 BHK (Large), 3 BHK Apartments varying from 600 sft to 1400 sft approximately. Being one of the leading developers of Bangalore, Concorde group has always created quality homes that suite people is needs and has ensured value appreciation.","52.2 Lac ₹ 2,92,569 Approx. Registration Charges
See Other Charges","Hesaraghatta Main Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
77.9 Lac,3 BHK 1367 Sq-ft Flat,"For Sale Nagarbhavi, Bangalore","Builder
Sidvin",3 See Dimension,2,NA,1367 sqft,"5,702/sqft",Ready to Move,New Property,4 (Out of 4 Floors),1 Covered,NA,NA,"Luxury takes on a new definition at Sidvin Grace. Be it picture-perfect interiors, aesthetically designed structures, innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambiance for happiness and fine living.","77.9 Lac ₹ 2,000 Monthly","Nagarbhavi, Bangalore, Nagarbhavi, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
81.6 Lac,2 BHK 1260 Sq-ft Flat,"For Sale Jalahalli, Bangalore","Builder
Bojanna",2,2,NA,1260 sqft,"6,476/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,NA,81.6 Lac,"Jalahalli, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
68.1 Lac,2 BHK 1100 Sq-ft Flat,"For Sale Thanisandra, Bangalore","Builder
Supertech Ltd",2,2,NA,1100 sqft,"6,187/sqft",Ready to Move,New Property,13,None,Semi-Furnished,NA,"Bienvenida a MI CASA-Welcome to MI CASA for the Spanish, it is all about passion and enjoying every moment as it comes. Inspired by their liveliness and spontaneity, we have developed a unique Lifestyle project that truly exudes the magnificent culture of Spain. The Spaniards very often say Mi Casa Su Casa, which literally means consider my home as your home.",68.1 Lac,"Thanisandra, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
73.0 Lac,2 BHK 1251 Sq-ft Flat,"For Sale Varthur, Bangalore","Builder
Giri Prasad",2 See Dimensions,2,NA,1251 sqft,"5,835/sqft",Ready to Move,New Property,4 (Out of 10 Floors),1 Open,NA,NA,"The EON living experience is enhanced by an invigorating line-up of lifestyle pursuits. The exclusive clubhouse at EON is equipped to create spaces for fun and relaxation for all residents. It offers a party hall built for unforgettable gatherings, a library stacked up for reading enthusiasts, and indoor games of all varieties for the young at heart.",73.0 Lac ₹ 2.0 Lac Yearly,"Varthur, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
78.6 Lac,3 BHK 1404 Sq-ft Flat,"For Sale R.K.Hegde Nagar, Bangalore","Builder
Aparna Bhonsle",3,2,NA,1404 sqft,"5,599/sqft",Under Construction,New Property,"Vitrified, Ceramic Tiles",1 Covered,NA,NA,"Located in the heart of North Bengaluru at K.Narayanapura, Aparna Maple offers the best of both worlds connectivity and peaceful surroundings.
Aparna Maple provides a lifestyle desired by aspiring homebuyers with all modern amenities while offering excellent connectivity to major commercial hubs, the International Airport, Outer Ring Road and central Bengaluru.",78.6 Lac,"R.K.Hegde Nagar, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
94.2 Lac,3 BHK 1520 Sq-ft Flat,"For Sale Uttarahalli, Bangalore","Builder
Arjun",3 See Dimension,2,NA,1520 sqft,"6,197/sqft",Under Construction,New Property,4,1 Covered,Unfurnished,NA,"Each Apartment is aesthetically designed considering the principles of vaastu, floor plan optimizing every inch of space without compromising on open area, maximum ventilation and fresh air makes living here worth every rupee of your investment. The apartments are arranged across 12 feet wide sky lit central corridor. The total number of flats are 216 with 54 flats on each floor.",94.2 Lac ₹ 2 Per sq. Unit Monthly,"Uttarahalli, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
83.6 Lac,3 BHK 1355 Sq-ft Flat,"For Sale Kaggadasapura, Bangalore","Builder
Mathapathi",3,3,NA,1355 sqft,"6,170/sqft",Ready to Move,New Property,4 (Out of 4 Floors),1 Covered,NA,NA,"Home is deepest desires with valued features, Welcome to Mathapathi Brundaavan Apartment which is comfortably nestled in the heart of two worlds old and new Bangalore, offering a diverse living experience completely at your fingertips, enjoying all the qualities of full-fledged apartments, While being superbly supported by an additional strong network of immediately accessible amenities, such as like transport links, traditional and new culinary experiences, Top notch Schools, as well as recreational leisure and lifestyle abundance.","83.6 Lac ₹ 2,000 Monthly","Kaggadasapura, Bangalore, Kaggadasapura, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
1.15 Cr,3 BHK 1870 Sq-ft Flat,"For Sale Whitefield, Bangalore","Builder
Siddhant",3,4,NA,1870 sqft,"6,150/sqft",Ready to Move,New Property,3 (Out of 4 Floors),1 Open,NA,NA,"Located in Whitefield, Bangalore, the Umiya Woods offers easy connectivity to Hypercity, Forum Value Mall, Apollo Clinic, Sri Sathya Sai Hospital, Sigma Technology Park, Inorbit, Ascendas Park Square etc. The society is equipped with 3BHK apartments that are spread across the total area of 1700 sqft. and are equipped with 3 bedrooms and 3 bathrooms.

Meet Umiya Group at India Property Fair, Singapore on 28th & 29th Oct'17
PARK ROYAL , KITCHENER ROAD, Emerald Ballroom 1
11 00 AM TO 7 00 PM","1.15 Cr ₹ 6,43,999 Approx. Registration Charges
See Other Charges","Whitefield, Bangalore - East, Karnataka",Near The Deens Academy School,Less than 5 years,NA,NA,NA
1.12 Cr,3 BHK 1814 Sq-ft Flat,"For Sale JP Nagar 9th Phase, Bangalore","Builder
Gayathri",3 See Dimensions,3,2,1814 sqft,"6,174/sqft",Ready to Move,New Property,1 (Out of 14 Floors),None,NA,NA,"Integrated Township As both an overarching idea and a hands-on approach for improving a neighborhood, integrated community living, of 1500 families in 28 acres maximizes shared value that contribute to individual health, happiness and wellbeing. Lively neighborhood and inviting public spaces within the township is a key element for creating vibrant social life. The community within engage and collaborate to create an inspiring life.

Spaceconomics Design Space is perhaps the most abundant. Combining the science of space, with aesthetics and artistry which we call as Spaceconomics Design Intensive Radial Plan, Spacious Vacant spaces, Expansive interactive Spaces, SGRC, Compatibility, Ideal Spacing, Shadow Planning, Sunlight Regulation, Energy Saving open spaces, Spider design Floor Plan, there by rendering the project rare distinction in its planning.","1.12 Cr ₹ 2,000 Monthly","JP Nagar 9th Phase, Bangalore - South, Karnataka",medi plus,New Construction,NA,NA,NA
43.4 Lac,2 BHK 940 Sq-ft Flat,"For Sale Hosa Road, Bangalore","Builder
Ramana",2 See Dimension,2,NA,940 sqft,"4,617/sqft",Ready to Move,New Property,Vitrified,1 Covered,Unfurnished,NA,NA,43.4 Lac,"Hosa Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
45.0 Lac,2 BHK 830 Sq-ft Flat,"For Sale Kengeri, Bangalore","Builder
Karthik",2 See Dimension,2,NA,830 sqft,"5,422/sqft",Under Construction,New Property,6 (Out of 6 Floors),NA,NA,NA,"Hill Crest is a luxurious and affordable residential apartment project by Sairam Dwellings located next to Vishweshwaraiah Layout 2nd Stage Bangalore OFF NICE ROAD, which is also close proximity to Kengeri Metro Station, Educational institution like Edify School, Chitrakoota School, Hill Rock School, RV Engineering College.","45.0 Lac ₹ 2,000 Monthly","Kengeri, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
1.38 Cr,3 BHK 1729 Sq-ft Flat,"For Sale Kadubeesanahalli, Bangalore","Builder
Babu",3,3,NA,1729 sqft,"7,981/sqft",Ready to Move,New Property,"Vitrified, Marble",1 Covered,Unfurnished,NA,"A Home Where Everything is a Blessing. A premium gated residential cluster of 232 luxury apartments spread over a pristinely manicured ground, Bhuvi by Amsha offers varying sizes of homes across an elegant high rise 8 blocks of 8 floors each. It's a home that you'll be proud to call yours. Topped with excellent facilities, ample parking space and an expensive clubhouse, Bhuvi is a unique blend of contemporary architecture and Vaastu compliance.","1.38 Cr ₹ 2,000 Monthly","Kadubeesanahalli, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
91.6 Lac,3 BHK 1354 Sq-ft Flat,"For Sale Thambuchetty Palya, Bangalore","Builder
Banupriya",3,2,NA,1354 sqft,"6,765/sqft",Under Construction,New Property,14,None,NA,NA,Sun & Sanctum is a tall stepped architectural delight creating a unique skyline in the otherwise teeming city. The project is spread across 4 acres with 69% open space and a wide range of modern amenities to choose from. Experience elevated living in the heart of it all. Every sqft of the project is designed to allow for individualistic lifestyles while incorporating the essence of a community.,"91.6 Lac ₹ 3,000 Monthly","Thambuchetty Palya, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
44.8 Lac,3 BHK 1280 Sq-ft Flat,"For Sale Electronic City Phase 2, Bangalore","Builder
Kiran Kumar",3 See Dimension,2,NA,1280 sqft,"3,500/sqft",Under Construction,New Property,1 (Out of 3 Floors),NA,NA,NA,"Sri Nandana Royal is developed by Sri Nandana Builders with an impeccable Reputation for quality, integrity and on Schedule Delivery. The Apartment is located in Electronic city Phase 2 Easily accessible, to all the Major IT Parks in Electronic city Like Infosys, Wipro, HP, CGS and many more.","44.8 Lac ₹ 30,000 Yearly","Electronic City Phase 2, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
69.7 Lac,2 BHK 1070 Sq-ft Flat,"For Sale Bellandur, Bangalore","Builder
Nikhar Aventino",2 See Dimension,2,NA,1070 sqft,"6,514/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Luxury takes on a new definition at Nikhar Aventino. Be it Picture-Perfect interiors, aesthetically designed structures, Innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambience for happiness and fine living.",69.7 Lac,"Bellandur, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
77.1 Lac,2 BHK 1432 Sq-ft Flat,"For Sale JP Nagar 9th Phase, Bangalore","Builder
Jitesh",2,2,NA,1432 sqft,"5,382/sqft",Under Construction,New Property,12,1 Covered,NA,NA,"Maangalya boasts of a spectacularly and amazingly designed lightings that grace the beauty of the entire apartment. All the units are well-ventilated to let in more breeze, light and hence sooth your frayed nerves. As the entire structure is vaastu compliant, you are assured of blessings all the way. With Maangalya you can be rest assured of high quality living since all the materials that form your dream home are all branded ones and sourced from top retailers.",77.1 Lac,"JP Nagar 9th Phase, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
2.30 Cr,3 BHK 2753 Sq-ft Flat,"For Sale Kanakapura Road, Bangalore","Builder
Florita Rawat",3 See Dimension,3,NA,2753 sqft,"8,355/sqft",Under Construction,New Property,30 (Out of 30 Floors),NA,NA,NA,"The Magic Faraway Tree takes its name from the beautiful old tree on the edge of the property on Kanakapura Road, just 200 meters from the NICE corridor and adjacent to the upcoming Metro Station, well connected with Electronics City, Hosur Road, Bannerghatta Road as well as the Industrial areas of Peenya and Bidadi. The property is elevated, with greenery all around, overlooking small hillocks towards the south.",2.30 Cr,"Kanakapura Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
37.5 Lac,2 BHK 883 Sq-ft Flat,"For Sale Mysore Road, Bangalore","Builder
Rajesh",2 See Dimension,2,NA,883 sqft,"4,247/sqft",Under Construction,New Property,8 (Out of 12 Floors),NA,NA,NA,"Provident Equinox sets high standards in terms of specifications and fittings. The project uses breed construction technology which has proven results of making your home last longer, reduces noise levels and gives immaculate finish to the structures. The premise promises global brands inside and premium views outside.","37.5 Lac ₹ 2,000 Monthly","Mysore Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
28.0 Lac,2 BHK 905 Sq-ft Flat,"For Sale Gunjur, Bangalore","Builder
Naveen Kumar",2 See Dimension,2,NA,905 sqft,"3,094/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Signature Crest is a residential apartment project developed by M/s Signature Dwellings Private Limited. The project is planned in the affordable- luxury housing segment targeting entry- level home buyers. The proposed project is located close to Gunjur, off Dommasandra-Varthur road. It is close to major IT settings and is located about half an hour's drive from Electronics City, Whitefield and Outer Ring Road.","28.0 Lac ₹ 3,000 Monthly","Gunjur, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
2.68 Cr,3 BHK 2635 Sq-ft Flat,"For Sale Hebbal, Bangalore","Builder
Gururaj",3,3,NA,2635 sqft,"10,171/sqft",Ready to Move,New Property,more,1 Covered,Unfurnished,NA,"SNN believes in Think BIG.Think ahead and of course we rely on our strong construction team who help us deliver our vision. When taking over SNN Clermont project, we wanted to ensure a larger than life luxury project for all its stakeholders. When we commenced with repositioning the project, we first started with rechristening it. SNN Clermont is the pinnacle of luxury lifestyle and the only luxury apartment in Hebbal, North Bangalore featuring Five Towers of 40 Floors each. The grandeur and enormity of the project inspired its theme; the projects BIG IDEA was derived from the unmatchable beauty of the MUSTANGS. The Mustangs are amongst the finest of the equines. This exquisite equestrian breed is a symbol of luxury, wealth, refinement and above all, power! Ingredients that make SNN Clermont the most prized property in Bangalore.",2.68 Cr,"Hebbal, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
49.0 Lac,2 BHK 1035 Sq-ft Flat,"For Sale Electronics City Phase 1, Bangalore","Builder
Madhu",2,2,NA,1035 sqft,"4,734/sqft",Under Construction,New Property,14,None,NA,NA,"Ramky One Karnival, which marks the new standard in luxury living and contemporary design. A striking residential landmark that offers an unparalleled level of modern-day amenities - truly an address created to celebrate those little moments that herald an unforgettable life story.

Imagine being a resident here, where you can choose to bring alive a unique experience, every day. A weekend game of cricket with friends or perhaps a weekday rush of adrenaline with friends on the basketball court. For those in search of a little more tranquility, it offers inspiration through its lush landscapes and expansive views that are just what you need to lead you into the artful interiors of a well-appointed home. This might well be the perfect abode to let your story unfold.",49.0 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
1.32 Cr,3 BHK 2150 Sq-ft Flat,"For Sale Whitefield, Bangalore","Builder
ShriRam Properties",3,3,NA,2150 sqft,"6,140/sqft",Under Construction,New Property,NA,None,NA,NA,"Shriram Properties is coming up with one of their latest additions to the list of residential projects in Seegehalli Main Road, Off Old Madras Road, K.R. Puram, and East Bangalore very soon. This premium development named Shriram Blue hopes to provide an enchanted life with smartly designed homes admits all the necessary amenities.",1.32 Cr,"Whitefield, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
42.2 Lac,2 BHK 802 Sq-ft Flat,"For Sale Mysore Road, Bangalore","Builder
Parnika",2 See Dimension,2,NA,802 sqft,"5,262/sqft",Under Construction,New Property,Vitrified,1 Covered,NA,NA,"Pranathi Fulfill Your Desire To Move Up The Ladder And Belong To The Elite By Providing You With Homes That Compliments Your Aspirations. Prime Location, The Riches Of Indulging In Luxury, The Comfort Of Convenience, The Trust Of A Reputed Brand Are Just A Few Perks Among Many Of Belonging To Pranathi.",42.2 Lac,"Mysore Road, Bangalore, Mysore Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
89.0 Lac,3 BHK 1575 Sq-ft Flat,"For Sale JP Nagar Phase 8, Bangalore","Builder
Ayub Khan",3 See Dimension,2,NA,1575 sqft,"5,651/sqft",Under Construction,New Property,"Vitrified, Granite",None,NA,NA,NA,89.0 Lac ₹ 4 Per sq. Unit Monthly,"JP Nagar Phase 8, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
49.6 Lac,2 BHK 992 Sq-ft Flat,"For Sale Mysore Road, Bangalore","Builder
Athique",2,2,NA,992 sqft,"5,000/sqft",Ready to Move,New Property,NA,None,Unfurnished,NA,"PLATINA EXOTICA A Luxury Resiential project in a prime location adjoing BDA layout at Kengeri. Kengeri has always been one the most preferred residential areas in the city of Bangalore. Beautifully laid out residential area by BANGALORE DEVELOPMENT AUTHORITY, with excellent infrastructure consisting of good roads, water supply, well connected to ring road on all sides, conveniences within easy reach, access to excellent healthcare, schools, colleges, local and interstate bus stand, and recreational centers make it one of the choicest localities to live in if youre looking for all the above in Bangalore",49.6 Lac,"Mysore Road, Bangalore - West, Karnataka",NA,NA,NA,NA,NA
53.0 Lac,2 BHK 1108 Sq-ft Flat,"For Sale Hosa Road, Bangalore","Builder
Sandeep Kumar",2,2,NA,1108 sqft,"4,783/sqft",Under Construction,New Property,Ground (Out of 12 Floors),NA,NA,NA,"An abode with privileged amenities and proximity to IT Parks, hospitals and schools, T.G.Ascent is a rare opportunity for uncompromised living. Relax in lush gardens, Sprint on the jogging track, get fit in the gym, take a dip in the swimming pool, host a party in the posh club house, practice cricket , compete in a game of basketball and many more activities to make sure you live your life daily to the fullest.",53.0 Lac,"Hosa Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
1.56 Cr,3 BHK Villa,"for sale in Bluejay Malgudi, Kanakapura Road, Bangalore","Builder
Kaniska saha",3 See Dimension,3,NA,1950 sqft,"8,000/sqft",Ready to Move,New Property,"Vitrified, Granite",1 Covered,Unfurnished,NA,NA,1.56 Cr,"Kanakapura Road, Bangalore - South, Karnataka",NA,NA,NA,NA,NA
